food_id,name,nutrient_id,amount_per_100g
mext_1001,白米,calcium_mg,3.0
mext_1001,白米,carb_g,37.1
mext_1001,白米,energy_kcal,156.0
mext_1001,白米,fat_g,0.3
mext_1001,白米,fiber_g,0.5
mext_1001,白米,iron_mg,0.1
mext_1001,白米,protein_g,2.5
mext_1001,白米,vitamin_c_mg,0.0
mext_1002,オートミール,calcium_mg,47.0
mext_1002,オートミール,carb_g,69.1
mext_1002,オートミール,energy_kcal,350.0
mext_1002,オートミール,fat_g,5.7
mext_1002,オートミール,fiber_g,9.4
mext_1002,オートミール,iron_mg,3.9
mext_1002,オートミール,protein_g,13.7
mext_1002,オートミール,vitamin_c_mg,0.0
off_0770795800016,オートミール,calcium_mg,47.0
off_0770795800016,オートミール,carb_g,59.6666666666667
off_0770795800016,オートミール,energy_kcal,350.0
off_0770795800016,オートミール,fat_g,5.67
off_0770795800016,オートミール,iron_mg,4.0
off_0770795800016,オートミール,protein_g,13.7
off_4904075002210,プレミアムピュア　オートミール,calcium_mg,50.0
off_4904075002210,プレミアムピュア　オートミール,carb_g,68.6
off_4904075002210,プレミアムピュア　オートミール,energy_kcal,370.0
off_4904075002210,プレミアムピュア　オートミール,fat_g,6.66666666666667
off_4904075002210,プレミアムピュア　オートミール,fiber_g,11.0
off_4904075002210,プレミアムピュア　オートミール,iron_mg,4.66666666666667
off_4904075002210,プレミアムピュア　オートミール,protein_g,14.6666666666667
off_4900390710205,オートミール,calcium_mg,45.0
off_4900390710205,オートミール,carb_g,66.2
off_4900390710205,オートミール,energy_kcal,388.0
off_4900390710205,オートミール,fat_g,10.6
off_4900390710205,オートミール,fiber_g,8.9
off_4900390710205,オートミール,iron_mg,3.4
off_4900390710205,オートミール,protein_g,11.3
off_4900390708677,グラノーラ上級者さんの  オートミール,carb_g,68.1
off_4900390708677,グラノーラ上級者さんの  オートミール,energy_kcal,384.0
off_4900390708677,グラノーラ上級者さんの  オートミール,protein_g,12.0
off_4904075007833,オートミール,carb_g,68.5
off_4904075007833,オートミール,energy_kcal,367.0
off_4904075007833,オートミール,fat_g,7.67
off_4904075007833,オートミール,fiber_g,9.7
off_4904075007833,オートミール,protein_g,10.7
off_4582152498240,オートミール,carb_g,67.4
off_4582152498240,オートミール,energy_kcal,364.0
off_4582152498240,オートミール,fat_g,6.9
off_4582152498240,オートミール,fiber_g,12.3
off_4582152498240,オートミール,protein_g,14.2
off_4937768094650,オートミール　クイックオーツ,carb_g,66.6666666666667
off_4937768094650,オートミール　クイックオーツ,energy_kcal,383.333333333333
off_4937768094650,オートミール　クイックオーツ,fat_g,9.0
off_4937768094650,オートミール　クイックオーツ,fiber_g,9.66666666666667
off_4937768094650,オートミール　クイックオーツ,iron_mg,2.33333333333333
off_4937768094650,オートミール　クイックオーツ,protein_g,14.0
off_4901870301630,オートミール,carb_g,66.2
off_4901870301630,オートミール,energy_kcal,388.0
off_4901870301630,オートミール,fat_g,10.6
off_4901870301630,オートミール,fiber_g,8.9
off_4901870301630,オートミール,iron_mg,3.4
off_4901870301630,オートミール,protein_g,11.3
off_4573179682200,オートミール ロールドオーツ,carb_g,67.7
off_4573179682200,オートミール ロールドオーツ,energy_kcal,379.0
off_4573179682200,オートミール ロールドオーツ,fat_g,6.5
off_4573179682200,オートミール ロールドオーツ,fiber_g,10.4
off_4573179682200,オートミール ロールドオーツ,protein_g,13.2
off_4901113482140,アレンジ自在　オートミール,carb_g,68.3333333333333
off_4901113482140,アレンジ自在　オートミール,energy_kcal,390.0
off_4901113482140,アレンジ自在　オートミール,fat_g,9.33333333333333
off_4901113482140,アレンジ自在　オートミール,fiber_g,10.0
off_4901113482140,アレンジ自在　オートミール,protein_g,13.6666666666667
off_4571233478455,オートミール　クイックオーツ,carb_g,67.4
off_4571233478455,オートミール　クイックオーツ,energy_kcal,364.0
off_4571233478455,オートミール　クイックオーツ,fat_g,6.9
off_4571233478455,オートミール　クイックオーツ,fiber_g,12.3
off_4571233478455,オートミール　クイックオーツ,iron_mg,5.8
off_4571233478455,オートミール　クイックオーツ,protein_g,14.2
off_4900390709735,オートミール,calcium_mg,48.0
off_4900390709735,オートミール,carb_g,68.8
off_4900390709735,オートミール,energy_kcal,381.0
off_4900390709735,オートミール,fat_g,6.6
off_4900390709735,オートミール,fiber_g,9.6
off_4900390709735,オートミール,iron_mg,3.4
off_4900390709735,オートミール,protein_g,11.6
off_4946763096125,オートミール,calcium_mg,37.6666666666667
off_4946763096125,オートミール,carb_g,66.3333333333333
off_4946763096125,オートミール,energy_kcal,386.666666666667
off_4946763096125,オートミール,fat_g,11.0
off_4946763096125,オートミール,fiber_g,10.6666666666667
off_4946763096125,オートミール,iron_mg,3.0
off_4946763096125,オートミール,protein_g,11.3333333333333
off_4900390710199,オートミール　クイックタイプ,carb_g,68.8
off_4900390710199,オートミール　クイックタイプ,energy_kcal,381.0
off_4900390710199,オートミール　クイックタイプ,fat_g,6.6
off_4900390710199,オートミール　クイックタイプ,fiber_g,9.6
off_4900390710199,オートミール　クイックタイプ,iron_mg,3.4
off_4900390710199,オートミール　クイックタイプ,protein_g,11.6
off_6415000164616,オートミール,carb_g,68.3
off_6415000164616,オートミール,energy_kcal,367.0
off_6415000164616,オートミール,fat_g,6.4
off_6415000164616,オートミール,fiber_g,9.5
off_6415000164616,オートミール,protein_g,13.8
off_4560324607706,オートミール　インスタント,calcium_mg,47.0
off_4560324607706,オートミール　インスタント,carb_g,68.0
off_4560324607706,オートミール　インスタント,energy_kcal,396.666666666667
off_4560324607706,オートミール　インスタント,fat_g,11.6666666666667
off_4560324607706,オートミール　インスタント,fiber_g,10.3333333333333
off_4560324607706,オートミール　インスタント,iron_mg,4.0
off_4560324607706,オートミール　インスタント,protein_g,9.66666666666667
off_4589999061941,オートミール,calcium_mg,50.0
off_4589999061941,オートミール,carb_g,56.6666666666667
off_4589999061941,オートミール,energy_kcal,380.0
off_4589999061941,オートミール,fat_g,8.66666666666667
off_4589999061941,オートミール,fiber_g,10.3333333333333
off_4589999061941,オートミール,iron_mg,4.3333333333333295
off_4589999061941,オートミール,protein_g,13.0
off_4901870301258,オートミール,iron_mg,3.4
off_4901870301258,オートミール,vitamin_a_ug,0.0
off_4901870301258,オートミール,vitamin_c_mg,0.0
off_4573595510293,オートミール,carb_g,69.0
off_4573595510293,オートミール,energy_kcal,350.0
off_4573595510293,オートミール,fat_g,5.66666666666667
off_4573595510293,オートミール,fiber_g,9.33333333333333
off_4573595510293,オートミール,protein_g,13.6666666666667
off_4562102282174,オートミール　ロールドオーツ,carb_g,69.0
off_4562102282174,オートミール　ロールドオーツ,energy_kcal,380.0
off_4562102282174,オートミール　ロールドオーツ,fat_g,5.66666666666667
off_4562102282174,オートミール　ロールドオーツ,fiber_g,9.33333333333333
off_4562102282174,オートミール　ロールドオーツ,protein_g,13.6666666666667
off_4902621003681,バランス パワー ココア,calcium_mg,1045.45454545455
off_4902621003681,バランス パワー ココア,carb_g,53.1818181818182
off_4902621003681,バランス パワー ココア,energy_kcal,454.545454545455
off_4902621003681,バランス パワー ココア,fat_g,26.1363636363636
off_4902621003681,バランス パワー ココア,fiber_g,12.5
off_4902621003681,バランス パワー ココア,iron_mg,10.4545454545455
off_4902621003681,バランス パワー ココア,protein_g,7.95454545454545
off_4902621003681,バランス パワー ココア,vitamin_a_ug,1181.81818181818
