food_id,effective_price_food_id,price_yen,quantity_value,quantity_unit,price_per_g,observed_at,source_detail,mapped_source_key
mext_1001,estat_d9adcb1bc707,250.0,1.0,kg,0.25,2026-04-01T00:00:00Z,estat.csv:row1,白米
mext_1002,estat_020ac7d768d8,180.0,500.0,g,0.36,2026-04-01T00:00:00Z,estat.csv:row2,オートミール
off_0770795800016,,,,,,,,
off_4904075002210,,,,,,,,
off_4900390710205,,,,,,,,
off_4900390708677,,,,,,,,
off_4904075007833,,,,,,,,
off_4582152498240,,,,,,,,
off_4937768094650,,,,,,,,
off_4901870301630,,,,,,,,
off_4573179682200,,,,,,,,
off_4901113482140,,,,,,,,
off_4571233478455,,,,,,,,
off_4900390709735,,,,,,,,
off_4946763096125,,,,,,,,
off_4900390710199,,,,,,,,
off_6415000164616,,,,,,,,
off_4560324607706,,,,,,,,
off_4589999061941,,,,,,,,
off_4901870301258,,,,,,,,
off_4573595510293,,,,,,,,
off_4562102282174,,,,,,,,
off_4902621003681,off_4902621003681,192.0,132.0,g,1.4545454545454546,2024-08-21T00:00:00Z,open_prices:31711,
